Rank,Artist,Album,Year,Link
16,The Clash,London Calling,1979,https://www.billboard.com/wp-content/uploads/2022/03/16.-The-Clash-%E2%80%98London-Calling-1979-album-art-billboard-1240.jpg?w=772
15,Nas,Illmatic,1994,https://www.billboard.com/wp-content/uploads/2022/03/15.-Nas-%E2%80%98Illmatic-1994-album-art-billboard-1240.jpg?w=768
14,Blink-182,Enema of the State,1999,https://www.billboard.com/wp-content/uploads/2022/03/14.-Blink-182-%E2%80%98Enema-of-the-State-1999-album-art-billboard-1240.jpg?w=772
13,Kendrick Lamar,To Pimp a Butterfly,2015,https://www.billboard.com/wp-content/uploads/2022/03/13.-Kendrick-Lamar-To-Pimp-a-Butterfly-2015-album-art-billboard-1240.jpg?w=768
12,Hole,Live Through This,1994,https://www.billboard.com/wp-content/uploads/2022/03/12.-Hole-%E2%80%98Live-Through-This-1994-album-art-billboard-1240.jpg?w=768
11,The Beatles,Sgt. Pepper’s Lonely Hearts Club Band,1967,https://www.billboard.com/wp-content/uploads/2022/03/11.-The-Beatles-%E2%80%98Sgt.-Peppers-Lonely-Hearts-Club-Band-1967-album-art-billboard-1240.jpg?w=768
10,Elvis Presley,Elvis Presley,1956,https://www.billboard.com/wp-content/uploads/2022/03/10.-Elvis-Presley-%E2%80%98Elvis-Presley-1956-album-art-billboard-1240.jpg?w=855
9,Public Enemy,Fear of a Black Planet,1990,https://www.billboard.com/wp-content/uploads/2022/03/9.-Public-Enemy-%E2%80%98Fear-of-a-Black-Planet-1990-album-art-2022-billboard-1240.jpg?w=768
8,Cyndi Lauper,She's So Unusual,1983,https://www.billboard.com/wp-content/uploads/2022/03/8.-Cyndi-Lauper-%E2%80%98Shes-So-Unusual-1983-album-art-billboard-1240.jpg?w=768
7,Nirvana,Nevermind,1991,https://www.billboard.com/wp-content/uploads/2022/03/7.-Nirvana-%E2%80%98Nevermind-1991-album-art-billboard-1240.jpg?w=768
6,Pink Floyd,Dark Side of the Moon,1973,https://www.billboard.com/wp-content/uploads/2022/03/6.-Pink-Floyd-%E2%80%98Dark-Side-of-the-Moon-1973-album-art-billboard-1240.jpg?w=768
5,Led Zeppelin,Led Zeppelin,1969,https://www.billboard.com/wp-content/uploads/2022/03/5.-Led-Zeppelin-%E2%80%98Led-Zeppelin-1969-album-art-billboard-1240.jpg?w=768
4,The Notorious B.I.G.,Ready to Die,1994,https://www.billboard.com/wp-content/uploads/2022/03/4.-The-Notorious-B.I.G.-%E2%80%98Ready-to-Die-1994-album-art-billboard-1240.jpg?w=799
3,Patti Smith,Horses,1975,https://www.billboard.com/wp-content/uploads/2022/03/3.-Patti-Smith-%E2%80%98Horses-1975-album-art-billboard-1240.jpg?w=855
2,The Beatles,Abbey Road,1969,https://www.billboard.com/wp-content/uploads/2022/03/2.-The-Beatles-%E2%80%98Abbey-Road-1969-album-art-billboard-1240.jpg?w=768
1,The Velvet Underground and Nico,The Velvet Underground & Nico,1967,https://www.billboard.com/wp-content/uploads/2022/03/1.-The-Velvet-Underground-and-Nico-%E2%80%98The-Velvet-Underground-Nico-1967-album-art-2022-billboard-1240.jpg?w=777
